영양DB대분류,영양DB중분류,영양DB소분류,영양식품코드,영양식품명,영양DB그룹명,영양식품세분류명,원재료명,원재료명이명,기존표시명,분류기준,데이터출처구분,제철시기(월),보관,손질,세척,신선도체크,대표식품명,영양성분기준량,에너지_kcal,수분_g,단백질_g,지방_g,회분_g,탄수화물_g,당류_g,식이섬유_g,칼슘_mg,철_mg,인_mg,칼륨_mg,나트륨_mg,콜레스테롤_mg,포화지방산_g,트랜스지방산_g,보관출처명,보관출처URL,손질출처명,손질출처URL,세척출처명,세척출처URL,신선도출처명,신선도출처URL,영양출처명,제철시기출처명,제철시기출처URL
채소류,해당없음,해당없음,R106-115000001-0000,시금치_생것,원재료성,생것,시금치,섬초 / 시금치,시금치,채소류,영양+가이드,12,"사용 전 흙이 묻은 상태로 키친타월에 싸서 냉장고 신선실에 세워 보관하는 것이 좋다. 냉장 보관 중인 시금치를 꺼내 물을 뿌려주면 수분이 유지되고 통기가 되어 신선도가 유지된다. 데친 시금치는 비닐 팩으로 밀봉하여 냉동 보관한다. 사과, 멜론, 키위 등에서 배출되는 에틸렌 가스는 채소의 호흡을 증가시키고 노화를 가속하므로 시금치와 함께 보관하지 않는다.","시금치를 조리할 때 밑동이 그대로 붙어 있어야 조리하기 쉬우므로 뿌리 부분만 손질한다. 뿌리는 붉은색을 띠는 부분이 영양이 풍부하므로 잘라내지 말고 칼로 겉껍질을 살짝 긁어 낸 뒤 그대로 사용하는 것이 좋다. 시금치는 샐러드, 피자 토핑 등 생것을 그대로 사용하면 영양 손실을 줄일 수 있지만 쓴맛이 있다. 끓는 물에 소금을 넣고 뚜껑을 연 채 살짝 데치면 영양 손실을 줄이고 쓴맛을 내는 원인인 수산(옥살산)을 증발시킬 수 있다. 데쳐낸 시금치는 흐르는 물에 씻어 떫은맛과 거품 찌꺼기를 제거한 뒤 사용한다.",흙이나 이물질을 제거한 뒤 물에 잠시 담갔다가 흐르는 물에 여러 번 헹군다. 잎이 겹쳐 있거나 주름진 부분은 잔류물이 남기 쉬우므로 펼쳐서 씻는다.,"잎이 두껍고 진한 녹색을 띠며 윤택이 나는 것이 좋다. 뿌리는 붉고 색이 선명하며 길이는 10~15cm인 것을 고른다. 시금치는 사용 용도에 따라 무침용과 국거리용으로 구분할 수 있는데, 무침용은 길이가 짧고 뿌리 부분이 선명한 붉은색을 띠는 것이 좋으며 국거리용은 줄기가 연하고 길며 잎이 넓은 것이 좋다. 잎이 건조하거나 황갈색으로 변한 것은 질소 함량이 낮아 신선도가 떨어지는 것이다.",시금치,100g,29.00,89.6,3.35,0.39,1.79,4.86,0.4,3.1,66.00,2.49,75.0,691.000,23.00,0.0,0.0,0.09,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=59&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=59&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=59&menuId=PS03599,농진청('14),농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
채소류,해당없음,잎,R106-068007883-0000,무시래기_잎_말린것을 삶은것,원재료성 식품,말린것을 삶은것,시래기,시래기,시래기,채소류,영양+가이드,2,서늘하고 통풍이 잘 되는 곳에 보관하거나 데쳐서 물기를 꼭 짠 후 냉동 보관할 수 있다.,물에 불리거나 데쳐서 헹군 후 물기를 빼고 용도에 맞게 자르거나 통으로 길게 사용하기도 한다.,흙이나 이물질을 제거한 뒤 물에 잠시 담갔다가 흐르는 물에 여러 번 헹군다. 잎이 겹쳐 있거나 주름진 부분은 잔류물이 남기 쉬우므로 펼쳐서 씻는다.,"싱싱한 무에서 나온 무청, 청결한 무청을 말린 것이 좋은 시래기이며 줄기와 잎이 너무 질기지 않고 푸른빛을 띠는 것이 좋다. 건조 시 직사광선에 노출되지 않고 통풍이 잘 되는 장소에서 말려야 녹색을 유지하면서 각종 영양소가 파괴되지 않고 품질이 우수한 시래기라고 할 수 있다. 국내산 시래기는 줄기가 굵고 부서진 부분이 적은 반면, 중국산 시래기는 줄기가 가늘고 부서진 부분이 많다.",무시래기,100g,27,92.0,1.81,0.39,0.47,5.34,0.04,4.9,114,1.74,15.0,124,3,0.0,0.06,0.0,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=22&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=22&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=22&menuId=PS03599,농촌진흥청(국가표준식품성분표),농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
채소류,해당없음,해당없음,R106-119000001-0000,쑥갓_생것,원재료성,생것,쑥갓,결구상추 / 동호 / 쑥갓 / 통상추,쑥갓,채소류,영양+가이드,4,어린 쑥을 따서 데친 뒤 냉동 보관하거나 잘 건조한 후 통풍이 잘 되는 곳에 보관하면 1년 내내 이용할 수 있다.,깨끗한 물에 여러 번 씻어서 흙을 제거하고 경우에 따라 끓는 물에 소금을 약간 넣고 데친 뒤 찬물에 헹구고 물기를 꼭 짜낸 다음 요리에 이용한다.,흙이나 이물질을 제거한 뒤 물에 잠시 담갔다가 흐르는 물에 여러 번 헹군다. 잎이 겹쳐 있거나 주름진 부분은 잔류물이 남기 쉬우므로 펼쳐서 씻는다.,줄기가 뻗어나가지 않고 어리고 부드러운 잎이 맛과 향이 좋다. 야윈 쑥보다는 통통하고 쑥 밑부분 색깔이 붉은 것이 좋다. 쑥 색깔이 초록색보다는 털이 성글게 덮여 뿌연 초록색이 좋다.,쑥갓,100g,15.00,94.6,1.93,0.17,0.95,2.35,0.0,2.4,91.00,0.79,36.0,239.000,145.000,0.0,0.0,0.04,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=47&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=47&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=47&menuId=PS03599,농진청('14),농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
채소류,해당없음,해당없음,R106-122000001-0000,아스파라거스_생것,원재료성,생것,아스파라거스,아스파라거스,아스파라거스,채소류,영양만 있음,,,,,,아스파라거스,100g,17.00,94.5,2.02,0.34,0.61,2.53,1.35,1.7,11.00,0.47,55.0,293.000,3.00,0.0,0.0,0.05,,,,,,,,,농진청('18),,
빙과류,아이스크림류(*축산물가공품),아이스밀크,P102-103010300-0531,애플 민트,가공식품,해당없음,애플민트,민트 / 민트잎 / 애플민트,민트,채소류,영양만 있음,,물기를 제거한 뒤 키친타월이나 신문지로 감싸 밀폐용기 또는 비닐팩에 넣어 냉장 보관한다.,"시든 잎과 상한 부분을 제거하고, 잎 사이의 흙이나 이물질을 털어낸 뒤 용도에 맞게 다듬는다.",물에 5분 정도 담근 후 흐르는 물에 30초 정도 씻는다.,"잎이 선명하고 탄력이 있으며 무름, 갈변, 시든 냄새가 없는지 확인한다.",아이스밀크,100mL,109.000,,3.38,2.84,,17.58,13.05,,,,,,17.00,,31.84,1.83,기존 식재료 가이드 유형 확장,,기존 식재료 가이드 유형 확장,,기존 식재료 가이드 유형 확장,,기존 식재료 가이드 유형 확장,,식품의약품안전처,,
농산가공식품류,기타 농산가공품류,과·채가공품,P116-702070100-1412,애호박,가공식품,해당없음,애호박,당호박 / 애호박,애호박,채소류,영양+가이드,7,"애호박은 장기 저장이 어렵지만, 썰어 말리거나 데친 후 급속 냉동하면 장기간 보존이 가능하다. 다듬지 않은 경우에는 신문지에 싸서 냉장 보관한다.",깨끗이 씻은 후 꼭지를 잘라내고 음식 용도에 맞게 썰어 요리에 사용한다.,흙을 털어내고 흐르는 물에서 표면을 문질러 씻는다. 껍질을 벗겨 사용하는 경우에는 껍질을 제거한 뒤 한 번 더 가볍게 헹군다.,표면에 긁힘이나 꼭지 부서짐과 같은 상해가 없어야 하며 과육이 부패되거나 변질된 경우는 피해야 한다. 처음과 끝의 굵기가 비슷하고 모양이 바르며 크기가 균일하고 표면이 매끄럽고 살이 찐 듯한 것이 좋다. 연녹색이 선명하고 광택이 있는 것이 좋다.,채소가공품,100g,16.00,,1.2,0.2,,3.3,0.0,,,,,,6.00,,0.0,0.0,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=83&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=83&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=83&menuId=PS03599,식품의약품안전처,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
채소류,해당없음,해당없음,R106-129000001-0000,양배추_생것,원재료성,생것,양배추,양배추,양배추,채소류,영양+가이드,3,양배추 겉잎을 2~3장 떼어 놓고 바깥쪽 잎으로 싸서 보관하면 마르거나 갈변 현상을 막을 수 있다. 양배추는 잎보다 줄기가 먼저 썩는 성질이 있으므로 줄기를 잘라낸 후 물에 적신 키친타월로 줄기 부분을 감싸고 랩으로 싸면 싱싱하게 보관할 수 있다.,,겉잎을 2~3장 떼어내고 흐르는 물에 씻는다.,겉결이 단단하고 겉잎이 제거되었으며 속대가 없는 것을 고른다. 겉잎은 연한 녹색이며 부드럽고 윤활감이 있으며 표면에 상처와 시든 것이 없는 것을 선택한다. 양손으로 눌러보아 쉽게 들어가는 느낌이 들거나 뿌리 부분을 잘랐을 때 속이 빈 것은 피한다.,양배추,100g,29.00,91.0,1.36,0.12,0.58,6.98,4.4,2.5,45.00,0.22,32.0,252.000,9.00,0.0,0.0,0.03,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=35&menuId=PS03599,,,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=35&menuId=PS03599,농진청(’21),농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
채소류,상추,완전결구상추(양상추),R106-101143601-0000,상추_완전결구상추(양상추)_청상추_생것,원재료성 식품,생것,양상추,양상추 / 양상치,양상추,채소류,영양만 있음,,물기를 제거한 뒤 키친타월이나 신문지로 감싸 밀폐용기 또는 비닐팩에 넣어 냉장 보관한다.,"시든 잎과 상한 부분을 제거하고, 잎 사이의 흙이나 이물질을 털어낸 뒤 용도에 맞게 다듬는다.",물에 5분 정도 담근 후 흐르는 물에 30초 정도 씻는다.,"잎이 선명하고 탄력이 있으며 무름, 갈변, 시든 냄새가 없는지 확인한다.",상추,100g,14,95.6,0.72,0.08,0.26,3.37,1.77,1.5,26,0.35,22.0,155,4,0.0,0.01,0.0,기존 식재료 가이드 유형 확장,,기존 식재료 가이드 유형 확장,,기존 식재료 가이드 유형 확장,,기존 식재료 가이드 유형 확장,,농촌진흥청(국가표준식품성분표),,
채소류,해당없음,해당없음,R106-132000001-0000,양파_생것,원재료성,생것,양파,양총 / 양파 / 양파 채썬거 / 양파가루 / 양파껍질 / 적양파,양파,채소류,영양+가이드,6,"양파는 수분이 많아 비닐 팩 등에 밀봉해서 보관하면 수분이 빠져나가지 못해 양파가 썩고, 냉장 보관 시에도 쉽게 무르고 역한 냄새가 날 수 있다. 따라서 밀봉하지 않고 망에 담긴 상태로 통풍이 잘 되는 서늘한 곳에 걸어두는 것이 좋다. 양파가 서로 맞닿으면 상처가 나고 습기가 차므로 양파와 양파 사이를 끈으로 묶어 닿지 않게 하는 것이 좋다. 껍질을 깐 양파나 손질 후 남은 양파는 밀폐 용기에 담아 냉장고 신선실에 보관한다. 양파를 썬 채로 오래 두면 톡 쏘는 맛이 사라지므로 통째로 보관하는 것이 좋다.",양파의 양 끝부분을 칼로 잘라낸 후 겉껍질을 벗기고 깨끗하게 물로 씻은 다음 용도에 맞게 사용한다. 양파의 매운맛을 내는 알리신 성분은 물에 잘 녹으므로 생으로 먹을 때는 찬물에 잠깐 담가두었다가 꺼내 먹으면 매운맛을 줄일 수 있다. 단 너무 오래 담가두면 알리신 성분이 파괴되므로 주의한다.,흙을 털어내고 흐르는 물에서 표면을 문질러 씻는다. 껍질을 벗겨 사용하는 경우에는 껍질을 제거한 뒤 한 번 더 가볍게 헹군다.,"좋은 양파는 무르지 않고 단단하며, 껍질이 선명하고 잘 마른 것이다. 들었을 때 무거운 느낌이 들고 크기가 균일한 것이 좋다. 싹이 나 있는 양파는 푸석거리거나 속이 빈 경우가 있다. 싹이 보이지 않고 어두운색을 띠지 않으며 껍질이 얇지만 잘 벗겨지지 않는 것을 고른다.",양파,100g,29.00,92.0,0.96,0.17,0.33,6.52,4.71,1.6,16.00,0.2,27.0,148.000,2.00,0.0,0.0,0.01,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=74&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=74&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=74&menuId=PS03599,농진청(’23) ,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
채소류,해당없음,해당없음,R106-141000001-0000,연근_생것,원재료성,생것,연근,연 / 연근,연근,채소류,영양+가이드,10,껍질을 벗긴 후 그대로 두면 갈색으로 변하므로 바로 식초 물에 담가 냉장 보관한다.,쓴맛이 강하므로 데쳐서 찬물에 오랫동안 우려낸 다음 조리에 이용한다. 연근을 자를 때 철분이 있으면 갈변이 잘 일어나므로 쇠칼이나 쇠냄비는 피하는 것이 좋다. 연근을 삶을 때 식초를 넣으면 빛깔이 희게 마무리된다.,흙을 털어내고 흐르는 물에서 표면을 문질러 씻는다. 껍질을 벗겨 사용하는 경우에는 껍질을 제거한 뒤 한 번 더 가볍게 헹군다.,"곧고 무거우며 상처가 없는 말끔한 것을 고른다. 양이 길고 굵으며 겉이 건조하지 않고, 자를 때 속이 희고 부드러우며 구멍의 크기가 고른 것이 좋다.",연근,100g,75.00,80.0,1.63,0.07,1.02,17.28,1.81,3.3,28.00,0.8,75.0,478.000,21.00,0.0,0.0,0.02,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=100&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=100&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=100&menuId=PS03599,농진청('15),농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
채소류,해당없음,해당없음,R106-144000001-0000,열무_생것,원재료성,생것,열무,글리코시드과일무 / 무우 / 수박무 / 열무,열무,채소류,영양+가이드,7,열무는 잎과 줄기가 연해 오래 두고 먹기 적당하지 않다. 신문지나 키친타월에 싸서 밑동을 아래로 하고 냉장고 신선실에 보관하면 2~3일 정도 냉장 보관이 가능하다. 그 이상 보관할 경우 팔팔 끓는 물에 데쳐 물기를 살짝 짠 뒤 포장해 냉동 보관하는 것이 좋다. 또는 그늘지고 바람이 잘 부는 곳에 말려 시래기 묵나물로 활용할 수도 있다. 남은 열무로 김치를 담그는 것도 좋은 방법이다.,"시래기로 쓸 수 있는 겉잎을 떼어내고, 열무의 뿌리와 줄기 사이의 거뭇한 부분을 칼로 긁어내며 손질한다. 그 후 물에서 깨끗이 씻는다. 소금에 절여 숨이 죽으면 헹구어 물기를 뺀다. 조리할 때 너무 많이 뒤적거리면 풋내가 날 수 있으므로 주의한다. 시든 것은 물에 씻으면 금세 파릇하게 살아나므로 물에 담가 생기 있게 만들어 사용한다.",흙이나 이물질을 제거한 뒤 물에 잠시 담갔다가 흐르는 물에 여러 번 헹군다. 잎이 겹쳐 있거나 주름진 부분은 잔류물이 남기 쉬우므로 펼쳐서 씻는다.,"열무는 여름철 고온다습한 환경에 노출되면 병충해에 걸리거나 생육 장애가 발생하기 쉽다. 병충해로 인한 손상이나 썩은 제품을 피하기 위해 주의 깊게 살펴야 한다. 열무는 잎이 연둣빛으로 싱싱하고, 잘랐을 때 줄기의 단면에 수분감이 있는 것이 좋다. 너무 자란 열무는 질긴 식감으로 먹기 부담스러울 수 있으므로 키가 작고 뿌리 부분이 날씬한 어린 열무를 고른다. 잎이 너무 가늘면 빨리 물러질 수 있으므로 줄기가 도톰한 열무가 좋다.",열무,100g,14.00,94.8,1.86,0.22,0.98,2.18,0.38,1.8,127.000,1.13,41.0,329.000,73.00,0.0,0.0,0.04,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=84&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=84&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=84&menuId=PS03599,농진청(’21),농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
조미료류,해당없음,해당없음,R118-061000002-0000,오레가노_말린것,원재료성,말린것,오레가노,그릭오레가노 / 불가레오레가노 / 오레가노,오레가노,채소류,영양만 있음,,,,,,오레가노,100g,265.000,9.93,9.0,4.28,7.87,68.92,4.09,42.5,"1,597.000",36.8,148.0,"1,260.000",25.00,0.0,0.0,1.55,,,,,,,,,USDA(’18),,
채소류,개량종,해당없음,R106-148010001-0000,오이_개량종_생것,원재료성,생것,오이,물외 / 오이 / 외,오이,채소류,영양+가이드,5,"저온에 민감하므로 10~12도, 상대습도 85~90% 조건 보관이 적합하다. 에틸렌에 민감하므로 사과와 따로 보관한다.",,흐르는 물에 스펀지 등으로 표면을 문질러 씻은 다음 소금으로 문지르고 다시 흐르는 물에 씻는다.,굵기가 머리에서 끝 부분까지 일정하게 고르고 똑바로 곧은 오이를 고른다. 굽은 정도가 심하지 않으면 상품으로 손색이 없다. 위아래의 굵기가 비슷하고 중간에 우툴두툴한 돌기가 많아야 싱싱하다. 한쪽 끝은 가늘고 다른쪽 끝만 유난히 굵은 것은 씨가 많아 좋지 않다.,오이,100g,13.00,95.7,1.06,0.05,0.43,2.79,1.51,0.6,18.00,0.2,39.0,196.000,3.00,0.0,0.0,0.01,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=61&menuId=PS03599,,,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=61&menuId=PS03599,농진청('19),농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
곡류,옥수수,단옥수수,R101-030020001-0000,옥수수_단옥수수_생것,원재료성 식품,생것,옥수수,강냉이 / 옥수수 / 초당옥수수,옥수수,채소류,영양+가이드,8,수확한 옥수수는 시간이 지날수록 당분이 전분으로 변하여 단맛이 떨어지기 때문에 바로 먹지 않는 경우에는 냉동보관 하는 것이 좋다. 먼저 옥수수를 한 번 찐 다음 열이 식으면 굳기 전에 먹을 만큼 팩에 나누어 냉동실에 보관한다. 냉동한 옥수수는 알맹이를 따서 밥을 할 때 넣거나 찜통에 다시 쪄서 먹으면 1년 내내 맛있고 손쉽게 즐길 수 있다.,"옥수수는 영양 손실이 빠르기 때문에 먹기 직전에 껍질을 벗기고 손질하는 것이 좋다. 또한 배아 부분에 영양이 집중되어 있으므로 가급적 알맹이를 손으로 빼면 배아가 함께 떨어져 나와 영양 손실을 줄일 수 있고, 칼로 알맹이를 잘라낼 경우 숟가락 등을 이용해서 배아까지 긁어내어 사용하면 좋다. 찰옥수수는 삶는 것보다 찌는 것이 맛이 좋은데, 손질할 때 속껍질을 2~3장 정도 남겨둔 상태로 찌면 옥수수 특유의 풍미를 더해주고 수분이 유지되어 촉촉하고 쫄깃한 맛을 느낄 수 있다.",흙을 털어내고 흐르는 물에서 표면을 문질러 씻는다. 껍질을 벗겨 사용하는 경우에는 껍질을 제거한 뒤 한 번 더 가볍게 헹군다.,"겉껍질이 있는 옥수수를 구매할 때는 껍질의 색이 선명한 녹색이며 마르지 않고 모양이 타원형인 것을 고른다. 수염이 오그라져 있고 흑갈색을 띠는 것이 잘 익은 것이며, 수염이 낱알 하나하나에서 연결되어 나오므로 수염이 풍성하면 그만큼 옥수수 알도 많은 것이다. 껍질이 벗겨져 있는 옥수수를 고를 때는 알맹이가 굵고 촘촘히 박혀 있으며 알맹이 부분을 눌렀을 때 탄력이 있고 딱딱하지 않은 것을 고른다. 껍질에 수분이 적고 가장자리가 말라 있으면 옥수수 알이 딱딱해지기 시작한 것으로 피하는 것이 좋다.",옥수수,100g,118,70.4,4.01,1.5,0.73,23.39,4.91,3.1,3,0.75,105.0,261,0,0.0,0.25,0.01,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=85&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=85&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=85&menuId=PS03599,농촌진흥청(국가표준식품성분표),농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
채소류,해당없음,해당없음,R106-154000001-0000,우엉_생것,원재료성,생것,우엉,우엉,우엉,채소류,영양+가이드,2,우엉 특유의 풍미와 맛은 껍질에 있으므로 흙이 묻은 상태로 껍질째 보관하는 것이 가장 좋다. 저장 시 건조해지면 상품가치와 효능이 떨어지므로 건조해지지 않도록 신문지에 싸서 서늘한 곳이나 냉장 보관한다.,"표면에 묻은 흙을 깨끗하게 세척한 후 껍질은 벗기지 않고 솔로 문질러 씻거나 칼등으로 훑어 긁어낸다. 물에 씻은 경우에는 가능한 빨리 사용하며, 공기에 접촉하면 갈변되기 쉬우므로 소금물이나 식촛물에 담가 사용한다. 쌀뜨물에 담가주면 아린맛도 제거되고 영양소 손실도 막을 수 있다. 우엉을 써는 방법은 섬유질 결 방향대로 길게 써는 것보다는 연필을 깎듯이 썰어야 연하게 섭취할 수 있다.",흙을 털어내고 흐르는 물에서 표면을 문질러 씻는다. 껍질을 벗겨 사용하는 경우에는 껍질을 제거한 뒤 한 번 더 가볍게 헹군다.,"껍질을 벗기지 않은 우엉을 구입하는 것이 좋으며, 껍질에 상처나 흠이 없고 수염뿌리나 혹이 없는 것이 좋다. 바람이 들지 않고 너무 건조하지 않은 것이며, 잘랐을 때 부드럽게 잘리고 섬유질이 연하여 깨물었을 때 부드러운 것이 좋다. 국산과 달리 중국산 우엉은 거칠고 딱딱하며 비교적 단맛이 강하다.",우엉,100g,69.00,81.0,2.61,0.06,1.04,15.29,2.87,4.6,46.00,0.8,87.0,406.000,6.00,0.0,0.0,0.02,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=24&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=24&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=24&menuId=PS03599,농진청('15),농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
