ingredient_id,alias_id,relationship
ingredient_0155,alias_0338,HAS_ALIAS
ingredient_0155,alias_0349,HAS_ALIAS
ingredient_0155,alias_0350,HAS_ALIAS
ingredient_0155,alias_0351,HAS_ALIAS
ingredient_0155,alias_0352,HAS_ALIAS
ingredient_0155,alias_0339,HAS_ALIAS
ingredient_0155,alias_0353,HAS_ALIAS
ingredient_0157,alias_0354,HAS_ALIAS
ingredient_0157,alias_0355,HAS_ALIAS
ingredient_0157,alias_0356,HAS_ALIAS
ingredient_0158,alias_0357,HAS_ALIAS
ingredient_0158,alias_0358,HAS_ALIAS
ingredient_0158,alias_0359,HAS_ALIAS
ingredient_0158,alias_0360,HAS_ALIAS
ingredient_0159,alias_0361,HAS_ALIAS
ingredient_0159,alias_0360,HAS_ALIAS
ingredient_0160,alias_0362,HAS_ALIAS
ingredient_0160,alias_0363,HAS_ALIAS
ingredient_0160,alias_0364,HAS_ALIAS
ingredient_0161,alias_0365,HAS_ALIAS
ingredient_0161,alias_0366,HAS_ALIAS
ingredient_0161,alias_0367,HAS_ALIAS
ingredient_0162,alias_0368,HAS_ALIAS
ingredient_0162,alias_0355,HAS_ALIAS
ingredient_0162,alias_0356,HAS_ALIAS
ingredient_0163,alias_0369,HAS_ALIAS
ingredient_0163,alias_0370,HAS_ALIAS
ingredient_0164,alias_0371,HAS_ALIAS
ingredient_0165,alias_0372,HAS_ALIAS
ingredient_0165,alias_0373,HAS_ALIAS
ingredient_0165,alias_0374,HAS_ALIAS
ingredient_0166,alias_0375,HAS_ALIAS
ingredient_0167,alias_0376,HAS_ALIAS
ingredient_0167,alias_0016,HAS_ALIAS
ingredient_0168,alias_0377,HAS_ALIAS
ingredient_0170,alias_0378,HAS_ALIAS
ingredient_0171,alias_0379,HAS_ALIAS
ingredient_0172,alias_0239,HAS_ALIAS
ingredient_0173,alias_0380,HAS_ALIAS
ingredient_0173,alias_0381,HAS_ALIAS
ingredient_0174,alias_0382,HAS_ALIAS
ingredient_0175,alias_0241,HAS_ALIAS
ingredient_0176,alias_0383,HAS_ALIAS
ingredient_0176,alias_0384,HAS_ALIAS
ingredient_0178,alias_0385,HAS_ALIAS
ingredient_0179,alias_0386,HAS_ALIAS
ingredient_0181,alias_0387,HAS_ALIAS
ingredient_0181,alias_0388,HAS_ALIAS
ingredient_0181,alias_0389,HAS_ALIAS
ingredient_0182,alias_0390,HAS_ALIAS
ingredient_0182,alias_0391,HAS_ALIAS
ingredient_0182,alias_0392,HAS_ALIAS
ingredient_0182,alias_0393,HAS_ALIAS
ingredient_0183,alias_0394,HAS_ALIAS
ingredient_0184,alias_0395,HAS_ALIAS
ingredient_0184,alias_0396,HAS_ALIAS
ingredient_0184,alias_0397,HAS_ALIAS
ingredient_0184,alias_0398,HAS_ALIAS
ingredient_0184,alias_0399,HAS_ALIAS
ingredient_0184,alias_0400,HAS_ALIAS
ingredient_0185,alias_0401,HAS_ALIAS
ingredient_0185,alias_0402,HAS_ALIAS
ingredient_0186,alias_0403,HAS_ALIAS
ingredient_0186,alias_0404,HAS_ALIAS
ingredient_0186,alias_0405,HAS_ALIAS
ingredient_0186,alias_0406,HAS_ALIAS
ingredient_0186,alias_0407,HAS_ALIAS
ingredient_0186,alias_0408,HAS_ALIAS
ingredient_0187,alias_0409,HAS_ALIAS
ingredient_0187,alias_0410,HAS_ALIAS
ingredient_0187,alias_0411,HAS_ALIAS
ingredient_0188,alias_0412,HAS_ALIAS
ingredient_0188,alias_0413,HAS_ALIAS
ingredient_0188,alias_0414,HAS_ALIAS
ingredient_0188,alias_0415,HAS_ALIAS
ingredient_0189,alias_0416,HAS_ALIAS
ingredient_0190,alias_0417,HAS_ALIAS
ingredient_0190,alias_0402,HAS_ALIAS
ingredient_0190,alias_0418,HAS_ALIAS
ingredient_0190,alias_0419,HAS_ALIAS
ingredient_0192,alias_0420,HAS_ALIAS
ingredient_0192,alias_0421,HAS_ALIAS
ingredient_0192,alias_0422,HAS_ALIAS
ingredient_0193,alias_0423,HAS_ALIAS
ingredient_0193,alias_0424,HAS_ALIAS
ingredient_0193,alias_0425,HAS_ALIAS
ingredient_0194,alias_0426,HAS_ALIAS
ingredient_0195,alias_0026,HAS_ALIAS
ingredient_0195,alias_0427,HAS_ALIAS
ingredient_0195,alias_0028,HAS_ALIAS
ingredient_0195,alias_0029,HAS_ALIAS
ingredient_0196,alias_0428,HAS_ALIAS
ingredient_0197,alias_0429,HAS_ALIAS
ingredient_0197,alias_0430,HAS_ALIAS
ingredient_0197,alias_0431,HAS_ALIAS
ingredient_0197,alias_0432,HAS_ALIAS
ingredient_0197,alias_0433,HAS_ALIAS
ingredient_0197,alias_0434,HAS_ALIAS
ingredient_0197,alias_0435,HAS_ALIAS
ingredient_0197,alias_0436,HAS_ALIAS
ingredient_0197,alias_0437,HAS_ALIAS
ingredient_0197,alias_0438,HAS_ALIAS
ingredient_0197,alias_0439,HAS_ALIAS
ingredient_0197,alias_0440,HAS_ALIAS
ingredient_0197,alias_0441,HAS_ALIAS
ingredient_0197,alias_0442,HAS_ALIAS
