RCP_SNO,CKG_NM,CRAWL_COMMENT_CNT,CRAWL_COOK_REVIEW_CNT
7018479,깻잎 계란말이,0.0,1.0
7018480,어묵튀김,0.0,
7018490,청포묵무침,0.0,1.0
7018491,돼지고기 고추장볶음,0.0,
7018499,돼지고기 삼겹살김치찌개,1.0,1.0
7018500,고구마 깨찰빵,0.0,
7018506,밀푀유나베,0.0,
7018513,훈제오리고기볶음,0.0,
7018515,연어김밥,0.0,
7018516,베샤멜소스볶음밥,0.0,1.0
7018518,야채 닭죽,0.0,1.0
7018522,개두릅 숙회,0.0,
7018524,알배추전,0.0,1.0
7018525,개두릅전,0.0,
7018527,어묵청양고추꼬마김밥,0.0,
7018530,엄나무순 간장 장아찌,0.0,
7018535,닭 똥집볶음,0.0,1.0
7018536,레몬 파운드케이크,0.0,
7018537,오징어 순대,0.0,
7018552,우삼겹 오징어볶음,0.0,
7018556,크림스프,0.0,1.0
7018562,참치 두부전,0.0,
7018563,버섯 들깨탕,0.0,
7018567,꼴뚜기볶음,0.0,
7018568,버터김치볶음밥,0.0,
7018569,오꼬노미야끼,0.0,
7018572,소고기 등심스테이크,0.0,
7018574,데리야끼소스,0.0,
7018576,김치 만두전골,0.0,
7018577,양배추 사과샐러드,0.0,
7018589,무청 시래기나물볶음,0.0,4.0
7018593,돼지갈비찜,,
7018595,참치 동그랑땡,0.0,
7018596,토마호크 스테이크,0.0,
7018597,참깨 토마토무침,0.0,
7018598,떡 맛탕,0.0,
7018599,김치 참치전,0.0,1.0
7018600,떡빵,0.0,
7018607,말차샷 라떼,0.0,
7018617,어복쟁반,0.0,2.0
7018621,우삼겹전골,0.0,
7018622,막걸리 수육,0.0,4.0
7018626,양배추 계란볶음밥,0.0,
7018627,누룽지 계란죽,0.0,4.0
7018636,애호박국수,0.0,
7018638,사골 곰탕 떡국,0.0,
7018641,볶음면,0.0,1.0
7018646,쪽파 베이컨 크림치즈 베이글,0.0,1.0
7018653,빨간 콩나물무침,0.0,
7018657,애호박구이,0.0,
7018661,버섯 고추장찌개,0.0,
7018663,소고기 숙주볶음,0.0,
7018667,메이플 오트라떼,0.0,
7018672,쌍화탕 한방 수육,0.0,
7018673,돼지갈비김치찜,0.0,1.0
7018675,계란빵,2.0,1.0
7018676,반숙,0.0,1.0
7018678,씨푸드 마파두부덮밥,0.0,
7018692,사골 만두국,0.0,
7018695,감자 두부 미역국,0.0,
7018700,연두부 계란찜,0.0,
7018701,미트볼 스파게티,0.0,1.0
7018710,고추장 콩나물 불고기,0.0,
7018717,코다리찜,0.0,4.0
7018719,들깨 순두부찌개,0.0,
7018727,고추장김치볶음밥,0.0,
7018729,떡볶이,0.0,
7018730,로투스 크림라떼,0.0,
7018734,어묵볶음밥,0.0,2.0
7018735,크래미 오이무침,0.0,
7018738,체다치즈 과자,0.0,
7018739,계란김밥,0.0,
7018740,닭가슴살 닭개장,0.0,
7018741,깐풍새우,0.0,
7018742,고구마 컵케이크,0.0,
7018747,돼지고기 카레볶음밥,0.0,
7018748,돼지고기 양배추볶음,0.0,1.0
7018754,흰콩나물무침,0.0,
7018762,도루묵찌개,0.0,
7018763,곰치 맑은탕 지리,1.0,1.0
7018767,cca주스,0.0,
7018785,쇼콜라쇼,0.0,
7018786,참치조림,0.0,
7018791,김치 만두국,0.0,
7018795,돼지고기 장조림,0.0,2.0
7018808,들깨 버섯 만두전골,0.0,
7018810,삼겹살 고추장볶음,0.0,
7018814,당면볶음,0.0,
7018815,유부롤초밥,0.0,
7018818,연어 샌드위치,0.0,
7018819,냉이 된장무침,0.0,
7018820,굴소스 납작어묵볶음,0.0,1.0
